Cod_item_faturado,CODITEM,MODELO,DESCITEM
120002041,120002041,BEB PREMIUM,BEBEDOURO AGUA PREMIUM BR 220V CBEHFBB1
120002068,120002068,FILTRO,KIT 4 UN FILTRO PUR AGUA PREMIUM
120002047,120002047,PUR PREMIUM,PUR AGUA PREMIUM BR 127V CPUHFBA1
120002040,120002040,BEB PREMIUM,BEBEDOURO AGUA PREMIUM BR 127V CBEHFBA1
120002048,120002048,PUR PREMIUM,PUR AGUA PREMIUM BR 220V CPUHFBB1
120004074,120004074,ACQUA ELETRONICO,PUR AGUA ELETRONICO GR CPUELSAGEN
120002071,120002071,FILTRO,KIT 4 UN FILTRO PURIFICADOR ACQUA ELETRO
120002056,120002056,ACQUA ELETRONICO,PUR AGUA ELETRONICO BR CPUELSABEN
120002054,120002054,ACQUA COMPRESSOR,PUR AGUA COMPRESSOR BR 220V CPUHEVABBN
120002044,120002044,BEB PREMIUM,BEB AGUAPREMIUM PT 220V CBEHFPB1
120002069,120002069,FILTRO,KIT 1 UN FILTRO PUR AGUA PREMIUM
120004345,120004345,ACQUA ELETRONICO,PUR AGUA ELETRONICO RS PCE8ARSCNAC
120002070,120002070,FILTRO,1 UN FILTRO PURIFICADOR ACQUA ELETRO
120002055,120002055,ACQUA COMPRESSOR,PUR AGUA220V PR CPUHEVACBN
120004069,120004069,ACQUA COMPRESSOR,PUR AGUA COMPRESSOR GR 220V CPUHELAGBN
120004068,120004068,ACQUA COMPRESSOR,PUR AGUA COMPRESSOR GR 127V CPUHELAGAN
120002057,120002057,ACQUA ELETRONICO,PUR AGUAELETRONICO PR CPUELSACEN
120002035,120002035,PUR PREMIUM,PUR AGUA127V
120002051,120002051,ACQUA COMPRESSOR,PUR AGUA COMPRESSOR BR 127V CPUHEVABAN
120002043,120002043,BEB PREMIUM,BEB AGUAPREMIUM PT 127V CBEHFPA1
120002049,120002049,PUR PREMIUM,PUR AGUAPREMIUM PT 127V CPUHFPA1
120002052,120002052,ACQUA COMPRESSOR,PUR AGUA127V PR CPUHEVACAN
120002027,120002027,BEB PREMIUM,BEB AGUA127V
120002036,120002036,PUR PREMIUM,PUR AGUA220V
