Empresa;GRPCLIEN;TPCLIENTE;Linha;MODELO; Qtd_2024 ; Qtd_2025 ; Variacao 
1001;101;Z1;ARM;BARCELONA; 1.709 ;-19 ;-1.728 
1001;101;Z1;ARM;FIRENZE;-2 ; -   ; 2 
1001;101;Z1;ARM;SOFIA;-1 ; -   ; 1 
1001;101;Z1;ARM;VERONA PLUS; 1.069 ;-4 ;-1.073 
1001;101;Z1;CEN;CENTRIFUGA; -   ; 411 ; 411 
1001;101;Z1;DEP;COOK 60; 1.975 ; 93 ;-1.882 
1001;101;Z1;DEP;COOK 80; 2.065 ; 325 ;-1.740 
1001;101;Z1;LCA;LCA 12; 1.530 ; 417 ;-1.113 
1001;101;Z1;LCS;LCS 10; 38.486 ; 27.193 ;-11.293 
1001;101;Z1;LCS;LCS 14;-1 ; -   ; 1 
1001;101;Z1;LCS;LCS 15; 13.067 ; 29.297 ; 16.230 
1001;101;Z1;LCS;LCS 16;-1 ;-2 ;-1 
1001;101;Z1;LCS;LCS 20; 16.548 ; 15.829 ;-719 
1001;101;Z1;LCS;LCT 6; 2.445 ; 1.430 ;-1.015 
1001;101;Z1;PUR;ACQUA ELETRONICO; 142 ; 247 ; 105 
1001;101;Z1;PUR;BEB PREMIUM; -   ; 66 ; 66 
1001;101;Z1;PUR;PUR PREMIUM; 6 ; 865 ; 859 
1001;101;Z2;CEN;CENTRIFUGA;-18 ; -   ; 18 
1001;101;Z2;LCA;LCA 12; 179 ; 278 ; 99 
1001;101;Z2;LCS;LCS 10; 210 ; 250 ; 40 
1001;101;Z2;LCS;LCS 15; 140 ; -   ;-140 
1001;101;Z2;LCS;LCS 20; 123 ; 112 ;-11 
1001;101;Z2;PUR;ACQUA ELETRONICO; 93 ; -   ;-93 
1001;101;Z2;PUR;BEB PREMIUM; 70 ; -   ;-70 
1001;102;Z1;CEN;CENTRIFUGA; 210 ; 71 ;-139 
1001;102;Z1;LCA;LCA 12; 566 ; 110 ;-456 
1001;102;Z1;LCA;LCA 15; 257 ; 72 ;-185 
1001;102;Z1;LCS;LCS 10; 6.140 ; 252 ;-5.888 
1001;102;Z1;LCS;LCS 15; 5.259 ; 1.574 ;-3.685 
1001;102;Z1;LCS;LCS 20; 2.561 ; 320 ;-2.241 
1001;102;Z1;LCS;LCT 6; 109 ; 8 ;-101 
1001;102;Z1;PUR;ACQUA ELETRONICO; 164 ; -   ;-164 
1001;102;Z2;ARM;FIRENZE; 845 ; -   ;-845 
1001;102;Z2;ARM;VERONA PLUS; 1.990 ; -   ;-1.990 
1001;102;Z2;CEN;CENTRIFUGA; 33 ; 238 ; 205 
1001;102;Z2;DEP;COOK 80; 209 ; 1.070 ; 861 
1001;102;Z2;LCA;LCA 12; 2.506 ; 3.747 ; 1.241 
1001;102;Z2;LCA;LCA 15; 102 ; 110 ; 8 
1001;102;Z2;LCS;LCS 10; 12.311 ; 10.174 ;-2.137 
1001;102;Z2;LCS;LCS 15; 4.082 ; 5.957 ; 1.875 
1001;102;Z2;LCS;LCS 16;-7 ;-1 ; 6 
1001;102;Z2;LCS;LCS 20; 9.944 ; 10.009 ; 65 
1001;102;Z2;LCS;LCT 6; 1.615 ; 2.361 ; 746 
1001;102;Z2;PUR;ACQUA ELETRONICO; -   ; 559 ; 559 
1001;102;Z2;PUR;BEB PREMIUM; 96 ; 717 ; 621 
1001;102;Z2;PUR;FILTRO; 66 ; 45 ;-21 
1001;102;Z2;PUR;PUR PREMIUM;-1 ; 667 ; 668 
1001;102;Z3;ARM;FIRENZE; 280 ; -   ;-280 
1001;102;Z3;ARM;VERONA PLUS; 667 ; -   ;-667 
1001;102;Z3;DEP;COOK 80; 301 ; 208 ;-93 
1001;102;Z3;LCA;LCA 12; 1.576 ; 386 ;-1.190 
1001;102;Z3;LCA;LCA 15; 77 ; 57 ;-20 
1001;102;Z3;LCS;LCS 10; 2.597 ; 933 ;-1.664 
1001;102;Z3;LCS;LCS 15; 290 ; 247 ;-43 
1001;102;Z3;LCS;LCS 20; 1.433 ; 1.493 ; 60 
1001;102;Z3;LCS;LCT 6; 426 ; 176 ;-250 
1001;102;Z3;PUR;ACQUA COMPRESSOR; -   ;-6 ;-6 
1001;102;Z3;PUR;BEB PREMIUM; -   ; 2 ; 2 
1001;102;Z3;PUR;PUR PREMIUM; -   ; 4 ; 4 
1001;103;Z2;DEP;COOK 60;-5 ; -   ; 5 
1001;103;Z2;DEP;COOK 80; 49 ;-2 ;-51 
1001;103;Z2;LCA;LCA 12; 845 ;-1 ;-846 
1001;103;Z2;LCA;LCA 15; 39 ;-2 ;-41 
1001;103;Z2;LCS;LCS 10; 220 ;-1 ;-221 
1001;103;Z2;LCS;LCS 20; 242 ;-2 ;-244 
1001;103;Z2;PUR;PUR PREMIUM;-1 ; -   ; 1 
1001;104;Z1;ARM;FIRENZE;-2 ; -   ; 2 
1001;104;Z1;CEN;CENTRIFUGA; 24 ; -   ;-24 
1001;104;Z1;DEP;COOK 60; 2 ; -   ;-2 
1001;104;Z1;DEP;COOK 80; 14 ; -   ;-14 
1001;104;Z1;LCA;LCA 12; 16 ; -   ;-16 
1001;104;Z1;LCS;LCS 10; 633 ; -   ;-633 
1001;104;Z1;LCS;LCS 15; 368 ; -   ;-368 
1001;104;Z1;LCS;LCS 20; 91 ; -   ;-91 
1001;104;Z1;LCS;LCT 6; 49 ; -   ;-49 
1001;104;Z1;PUR;ACQUA COMPRESSOR;-1 ; -   ; 1 
1001;104;Z2;ARM;VERONA PLUS; 200 ;-1 ;-201 
1001;104;Z2;CEN;CENTRIFUGA; 121 ; 42 ;-79 
1001;104;Z2;DEP;COOK 60; 75 ; -   ;-75 
1001;104;Z2;DEP;COOK 80; 120 ; 49 ;-71 
1001;104;Z2;LCA;LCA 12; 198 ;-4 ;-202 
1001;104;Z2;LCS;LCS 10; 1.124 ; 555 ;-569 
1001;104;Z2;LCS;LCS 15; 290 ; 149 ;-141 
1001;104;Z2;LCS;LCS 20; 969 ; 478 ;-491 
1001;104;Z2;LCS;LCT 6; 571 ; 495 ;-76 
1001;104;Z2;PUR;ACQUA ELETRONICO; -   ;-1 ;-1 
1001;104;Z2;PUR;BEB PREMIUM;-2 ;-1 ; 1 
1001;104;Z2;PUR;FILTRO; 100 ; -   ;-100 
1001;104;Z2;PUR;PUR PREMIUM; -   ;-6 ;-6 
1001;201;Z1;CEN;CENTRIFUGA; 586 ; -   ;-586 
1001;201;Z1;DEP;COOK 60; 92 ; -   ;-92 
1001;201;Z1;DEP;COOK 80; 150 ; -   ;-150 
1001;201;Z1;LCA;LCA 12; 1.472 ;-1 ;-1.473 
1001;201;Z1;LCS;LCS 10; 2.627 ; 707 ;-1.920 
1001;201;Z1;LCS;LCS 12; 23 ; -   ;-23 
1001;201;Z1;LCS;LCS 13; 423 ; -   ;-423 
1001;201;Z1;LCS;LCS 14; 313 ; -   ;-313 
1001;201;Z1;LCS;LCS 15; 98 ; 928 ; 830 
1001;201;Z1;LCS;LCS 16; 280 ; -   ;-280 
1001;201;Z1;LCS;LCS 20; 603 ; 400 ;-203 
1001;201;Z1;LCS;LCT 6; 329 ;-13 ;-342 
1001;201;Z1;PUR;ACQUA ELETRONICO; 20 ; -   ;-20 
1001;201;Z3;LCA;LCA 12; 52 ; -   ;-52 
1001;201;Z3;LCA;LCA 15; 47 ; -   ;-47 
1001;201;Z3;LCS;LCS 10; 60 ; -   ;-60 
1001;201;Z3;LCS;LCS 14;-4 ; -   ; 4 
1001;201;Z3;LCS;LCS 20; 58 ; -   ;-58 
1001;201;Z3;LCS;LCT 6;-4 ; -   ; 4 
1001;201;Z4;PUR;PUR PREMIUM; -   ; 3 ; 3 
1001;201;Z8;LCS;LCS 12; -   ; 1 ; 1 
1001;204;Z4;ARM;VERONA; -   ; 1 ; 1 
1001;204;Z4;CEN;CENTRIFUGA; -   ; 12 ; 12 
1001;204;Z4;DEP;COOK 80; -   ; 17 ; 17 
1001;204;Z4;LCA;LCA 12; -   ; 20 ; 20 
1001;204;Z4;LCA;LCA 15; -   ; 7 ; 7 
1001;204;Z4;LCS;LCS 10; -   ; 115 ; 115 
1001;204;Z4;LCS;LCS 15; -   ; 81 ; 81 
1001;204;Z4;LCS;LCS 20; -   ; 41 ; 41 
1001;204;Z4;LCS;LCT 6; -   ; 69 ; 69 
1001;301;Z1;CEN;CENTRIFUGA; 300 ; -   ;-300 
