Empresa,GRPCLIEN,TPCLIENTE,Linha,MODELO,Qtd_2024,Qtd_2025,Variacao
1001,101,Z1,ARM,BARCELONA,1709.0,-19.0,-1728.0
1001,101,Z1,ARM,FIRENZE,-2.0,0.0,2.0
1001,101,Z1,ARM,SOFIA,-1.0,0.0,1.0
1001,101,Z1,ARM,VERONA PLUS,1069.0,-4.0,-1073.0
1001,101,Z1,CEN,CENTRIFUGA,0.0,411.0,411.0
1001,101,Z1,DEP,COOK 60,1975.0,93.0,-1882.0
1001,101,Z1,DEP,COOK 80,2065.0,325.0,-1740.0
1001,101,Z1,LCA,LCA 12,1530.0,417.0,-1113.0
1001,101,Z1,LCS,LCS 10,38486.0,27193.0,-11293.0
1001,101,Z1,LCS,LCS 14,-1.0,0.0,1.0
1001,101,Z1,LCS,LCS 15,13067.0,29297.0,16230.0
1001,101,Z1,LCS,LCS 16,-1.0,-2.0,-1.0
1001,101,Z1,LCS,LCS 20,16548.0,15829.0,-719.0
1001,101,Z1,LCS,LCT 6,2445.0,1430.0,-1015.0
1001,101,Z1,PUR,ACQUA ELETRONICO,142.0,247.0,105.0
1001,101,Z1,PUR,BEB PREMIUM,0.0,66.0,66.0
1001,101,Z1,PUR,PUR PREMIUM,6.0,865.0,859.0
1001,101,Z2,CEN,CENTRIFUGA,-18.0,0.0,18.0
1001,101,Z2,LCA,LCA 12,179.0,278.0,99.0
1001,101,Z2,LCS,LCS 10,210.0,250.0,40.0
1001,101,Z2,LCS,LCS 15,140.0,0.0,-140.0
1001,101,Z2,LCS,LCS 20,123.0,112.0,-11.0
1001,101,Z2,PUR,ACQUA ELETRONICO,93.0,0.0,-93.0
1001,101,Z2,PUR,BEB PREMIUM,70.0,0.0,-70.0
1001,102,Z1,CEN,CENTRIFUGA,210.0,71.0,-139.0
1001,102,Z1,LCA,LCA 12,566.0,110.0,-456.0
1001,102,Z1,LCA,LCA 15,257.0,72.0,-185.0
