dummy,pct_outliers,pct_normais,diferenca
id_consumidor,67899700.0,75844420.69,-7944720.69
id_posto,702273.98,883401.73,-181127.75
id_revendedor,2333787.04,2445386.24,-111599.2
num_os,5071952012.58,5072024461.96,-72449.37
pedido,30688617.12,30738317.04,-49699.92
tp_pedido_Garantia,93.83,62.16,31.67
st_posto_Ativo,71.37,95.76,-24.39
st_posto_Em Processo de Descredenciamento,25.97,1.74,24.23
barulho,29.58,10.51,19.07
esteticofuncional,18.9,1.65,17.25
linha_LAVADORA AUTO,31.15,14.38,16.77
modelo_CENTRIFUGA,24.36,9.0,15.36
linha_CENTRÍFUGA,24.26,9.06,15.21
finalidade_GARANTIA,60.21,74.32,-14.11
pedido_fevereiro,23.74,10.06,13.68
motor,15.53,1.92,13.61
problema,15.86,3.2,12.65
defeito_constatado_REPROCESSO - ESTÉTICO/FUNCIONAL,30.15,17.52,12.63
finalidade_REPROCESSO,28.21,16.79,11.42
nao_ligar,1.85,12.53,-10.67
fazer,11.35,1.16,10.19
fabric_agosto,19.8,9.7,10.1
ligar,11.02,0.94,10.08
compra_marco,4.75,14.67,-9.92
roupa,10.4,0.5,9.9
compra_outubro,15.53,5.65,9.88
modelo_LCA 12,12.2,2.69,9.52
fechamento_maio,26.31,17.04,9.26
user_abertura_FABRICANTE,63.82,73.05,-9.24
user_abertura_POSTO,36.18,26.95,9.24
bater,11.21,2.05,9.16
defeito_constatado_NÃO LIGA,6.98,16.01,-9.03
cuba,10.73,1.9,8.84
pedido_maio,18.28,9.7,8.59
nao_bater,3.09,10.84,-7.76
modelo_LCS 10,11.49,3.76,7.73
cubo,7.79,0.08,7.7
polia,7.79,0.14,7.65
defeito,8.21,0.64,7.58
estetico,12.11,4.76,7.35
compra_fevereiro,15.67,8.35,7.32
reprocesso,18.76,11.55,7.21
batedor,8.07,0.93,7.14
ficar,7.22,0.56,6.66
modelo_COMUM,12.06,18.7,-6.64
defeito_constatado_BARULHO AO AGITAR,8.45,1.96,6.49
avariar,6.93,0.44,6.49
modelo_LCS 14,8.5,2.18,6.32
pedido_janeiro,14.96,8.82,6.13
