empresa,codigo_gestor,modelo,total_rateado,group_forecast,diff
1001,,LCS 10,0,,
1001,,LCS 13,0,,
1001,,LCS 20,0,,
1001,101,ACQUA ELETRONICO,600,600.0,0.0
1001,101,BEB PREMIUM,0,,
1001,101,CENTRIFUGA,1600,1600.0,0.0
1001,101,COOK 60,350,350.0,0.0
1001,101,COOK 80,401,400.0,1.0
1001,101,FILTRO,500,500.0,0.0
1001,101,LCA 12,350,350.0,0.0
1001,101,LCS 10,17999,18000.0,-1.0
1001,101,LCS 15,9000,9000.0,0.0
1001,101,LCS 20,9500,9500.0,0.0
1001,101,LCT 6,0,,
1001,101,PUR PREMIUM,1500,1500.0,0.0
1001,102,ACQUA ELETRONICO,0,,
1001,102,BEB PREMIUM,0,0.0,0.0
1001,102,BEBEDOURO PRO,48,50.0,-2.0
1001,102,CENTRIFUGA,147,147.0,0.0
1001,102,COOK 60,0,,
1001,102,COOK 80,233,232.0,1.0
1001,102,FILTRO,0,,
1001,102,LCA 12,0,0.0,0.0
1001,102,LCA 14,1200,1200.0,0.0
1001,102,LCA 15,0,0.0,0.0
1001,102,LCA 18,84,85.0,-1.0
1001,102,LCS 10,6828,6828.0,0.0
1001,102,LCS 15,4890,4889.0,1.0
1001,102,LCS 20,7446,7446.0,0.0
1001,102,LCT 6,1478,1478.0,0.0
1001,102,PUR PREMIUM,0,0.0,0.0
1001,102,PURIFICADOR PRO,100,100.0,0.0
1001,103,LCA 12,0,,
1001,103,LCA 15,0,,
1001,103,LCS 10,0,,
1001,103,LCS 20,0,,
1001,104,BEB PREMIUM,0,,
1001,104,CENTRIFUGA,60,60.0,0.0
1001,104,COOK 60,113,112.0,1.0
1001,104,COOK 80,112,113.0,-1.0
1001,104,FILTRO,0,,
1001,104,LCA 12,370,370.0,0.0
1001,104,LCS 10,790,790.0,0.0
1001,104,LCS 15,204,204.0,0.0
1001,104,LCS 20,326,326.0,0.0
1001,104,LCT 6,581,581.0,0.0
1001,104,PUR PREMIUM,0,,
1001,201,BEB PREMIUM,0,,
1001,201,CENTRIFUGA,0,,
1001,201,COOK 60,0,,
1001,201,COOK 80,0,,
1001,201,FILTRO,0,,
1001,201,LCA 12,0,,
1001,201,LCS 10,0,,
1001,201,LCS 12,0,,
1001,201,LCS 13,0,,
1001,201,LCS 14,0,,
1001,201,LCS 15,0,,
1001,201,LCS 20,0,,
1001,201,LCT 6,0,,
1001,201,PUR PREMIUM,0,,
1001,204,CENTRIFUGA,0,,
1001,204,COOK 60,0,,
1001,204,COOK 80,200,200.0,0.0
1001,204,LCA 12,200,200.0,0.0
1001,204,LCA 15,0,,
1001,204,LCS 10,0,,
1001,204,LCS 15,0,,
1001,204,LCS 20,0,,
1001,204,LCT 6,0,,
1001,301,COOK 60,0,,
1001,301,COOK 80,0,,
1001,301,LCA 12,0,,
1001,301,LCA 15,0,,
1001,302,CENTRIFUGA,0,,
1001,302,COOK 80,0,,
1001,302,LCA 12,0,,
1001,302,LCS 10,0,,
1001,302,LCS 15,0,,
1001,302,LCS 20,0,,
1001,401,ACQUA ELETRONICO,0,,
1001,401,BEB PREMIUM,0,,
1001,401,CENTRIFUGA,209,209.0,0.0
1001,401,COOK 60,110,111.0,-1.0
1001,401,COOK 80,335,333.0,2.0
1001,401,FILTRO,0,,
1001,401,LCA 12,640,640.0,0.0
1001,401,LCA 15,282,282.0,0.0
1001,401,LCS 10,651,650.0,1.0
1001,401,LCS 15,208,207.0,1.0
1001,401,LCS 20,1343,1343.0,0.0
1001,401,LCT 6,654,654.0,0.0
1001,401,PUR PREMIUM,0,,
1001,402,ACQUA ELETRONICO,20,20.0,0.0
1001,402,BEB PREMIUM,20,20.0,0.0
1001,402,CENTRIFUGA,50,50.0,0.0
1001,402,COOK 60,281,280.0,1.0
1001,402,COOK 80,398,398.0,0.0
1001,402,FILTRO,25,25.0,0.0
1001,402,LCA 12,280,280.0,0.0
1001,402,LCA 15,120,120.0,0.0
1001,402,LCS 10,750,750.0,0.0
1001,402,LCS 15,50,50.0,0.0
1001,402,LCS 20,750,750.0,0.0
1001,402,LCT 6,45,45.0,0.0
1001,402,PUR PREMIUM,30,30.0,0.0
1001,405,LCS 10,0,,
1001,405,LCS 20,0,,
1001,501,ACQUA ELETRONICO,10,,
1001,501,CENTRIFUGA,900,,
1001,501,COOK 60,160,,
1001,501,COOK 80,270,,
1001,501,FILTRO,0,,
1001,501,LCA 12,100,,
1001,501,LCA 14,0,,
1001,501,LCA 15,75,,
1001,501,LCA 17,0,,
1001,501,LCS 10,250,,
1001,501,LCS 12,1810,,
1001,501,LCS 20,800,,
1001,501,LCT 6,1610,,
1001,501,PUR PREMIUM,0,,
1001,601,ACQUA ELETRONICO,500,500.0,0.0
1001,601,BEB PREMIUM,1500,1500.0,0.0
1001,601,CENTRIFUGA,350,350.0,0.0
1001,601,COOK 60,201,200.0,1.0
1001,601,COOK 80,600,600.0,0.0
1001,601,FILTRO,0,,
1001,601,LCA 12,1500,1500.0,0.0
1001,601,LCA 15,400,400.0,0.0
1001,601,LCS 10,8300,8300.0,0.0
1001,601,LCS 15,2999,3000.0,-1.0
1001,601,LCS 20,4600,4600.0,0.0
1001,601,LCT 6,0,,
1001,601,PUR PREMIUM,1300,1300.0,0.0
1001,602,ACQUA ELETRONICO,0,,
1001,602,BEB PREMIUM,0,,
1001,602,CENTRIFUGA,322,,
1001,602,COOK 60,148,,
1001,602,COOK 80,235,,
1001,602,FILTRO,0,,
1001,602,"LCA 11,5",908,,
1001,602,LCA 12,797,,
1001,602,LCA 15,43,,
1001,602,LCS 10,3574,,
1001,602,LCS 12,0,,
1001,602,LCS 13,2726,,
1001,602,LCS 14,0,,
1001,602,LCS 15,0,,
1001,602,LCS 16,0,,
1001,602,LCS 18,567,,
1001,602,LCS 20,5548,,
1001,602,LCT 6,985,,
1001,602,PUR PREMIUM,0,,
1001,801,ACQUA ELETRONICO,0,,
1001,801,BEB PREMIUM,0,,
1001,801,FILTRO,0,,
1001,801,LCA 12,0,,
1001,801,LCA 15,0,,
1001,801,LCS 10,0,,
1001,801,PUR PREMIUM,0,,
1001,901,CENTRIFUGA,0,,
1001,901,LCA 12,0,,
1001,901,LCA 15,0,,
1001,901,LCS 10,0,,
1001,901,LCS 15,0,,
1001,901,LCS 20,0,,
1001,ATC,ACQUA ELETRONICO,0,,
1001,ATC,BEB PREMIUM,0,,
1001,ATC,CENTRIFUGA,0,,
1001,ATC,COOK 60,0,,
1001,ATC,COOK 80,0,,
1001,ATC,"LCA 11,5",0,,
1001,ATC,LCA 12,0,,
1001,ATC,LCA 15,0,,
1001,ATC,LCS 10,0,,
1001,ATC,LCS 12,0,,
1001,ATC,LCS 13,0,,
1001,ATC,LCS 14,0,,
1001,ATC,LCS 15,0,,
1001,ATC,LCS 16,0,,
1001,ATC,LCS 18,0,,
1001,ATC,LCS 20,0,,
1001,ATC,LCT 6,0,,
1001,ATC,PUR PREMIUM,0,,
1001,MKP,LCA 15,0,,
1001,MKP,LCS 10,0,,
1001,MKP,LCS 13,0,,
1001,MKP,LCS 20,0,,
1001,SGV,ACQUA COMPRESSOR,0,,
1001,SGV,ACQUA ELETRONICO,0,,
1001,SGV,BEB PREMIUM,0,,
1001,SGV,CENTRIFUGA,0,,
1001,SGV,FILTRO,0,,
1001,SGV,LCA 12,0,,
1001,SGV,LCA 15,0,,
1001,SGV,LCS 10,0,,
1001,SGV,LCS 12,0,,
1001,SGV,LCS 13,0,,
1001,SGV,LCS 15,0,,
1001,SGV,LCS 16,0,,
1001,SGV,LCS 20,0,,
1001,SGV,LCT 6,0,,
1001,SGV,PUR PREMIUM,0,,
1002,,PUR PREMIUM,0,,
1002,101,ACQUA ELETRONICO,200,200.0,0.0
1002,101,BEB PREMIUM,0,,
1002,101,CENTRIFUGA,250,250.0,0.0
1002,101,COOK 60,151,150.0,1.0
1002,101,COOK 80,200,200.0,0.0
1002,101,FILTRO,150,150.0,0.0
1002,101,LCA 12,0,,
1002,101,LCS 10,4999,5000.0,-1.0
1002,101,LCS 15,3201,3200.0,1.0
1002,101,LCS 20,2001,2000.0,1.0
1002,101,PUR PREMIUM,1000,1000.0,0.0
1002,102,ACQUA ELETRONICO,1947,1947.0,0.0
1002,102,BEB PREMIUM,0,,
1002,102,BEBEDOURO PRO,552,550.0,2.0
1002,102,FILTRO,0,,
1002,102,LCS 10,343,343.0,0.0
1002,102,LCS 15,215,215.0,0.0
1002,102,LCS 20,196,196.0,0.0
1002,102,PUR PREMIUM,0,,
1002,102,PURIFICADOR PRO,964,965.0,-1.0
1002,104,ACQUA ELETRONICO,58,58.0,0.0
1002,104,BEB PREMIUM,165,165.0,0.0
1002,104,BEBEDOURO PRO,168,169.0,-1.0
1002,104,FILTRO,280,280.0,0.0
1002,104,LCA 12,0,,
1002,104,LCS 10,0,,
1002,104,LCS 15,0,,
1002,104,LCS 20,0,,
1002,104,PUR PREMIUM,185,185.0,0.0
1002,104,PURIFICADOR PRO,192,190.0,2.0
1002,204,ACQUA ELETRONICO,0,,
1002,204,BEB PREMIUM,0,,
1002,204,CENTRIFUGA,0,,
1002,204,COOK 60,0,,
1002,204,FILTRO,0,,
1002,204,LCA 12,0,,
1002,204,LCA 15,0,,
1002,204,LCS 10,0,,
1002,204,LCS 15,0,,
1002,204,LCS 20,0,,
1002,204,PUR PREMIUM,0,,
1002,301,BEB PREMIUM,0,,
1002,301,CENTRIFUGA,0,,
1002,301,COOK 60,0,,
1002,301,COOK 80,0,,
1002,301,LCA 12,0,,
1002,301,LCA 15,0,,
1002,301,LCS 10,15360,15360.0,0.0
1002,301,LCS 15,0,,
1002,301,LCS 20,0,,
1002,301,PUR PREMIUM,0,,
1002,302,BEB PREMIUM,0,,
1002,302,CENTRIFUGA,0,,
1002,302,COOK 60,0,,
1002,302,COOK 80,0,,
1002,302,LCA 12,0,,
1002,302,LCA 15,0,,
1002,302,LCS 10,0,,
1002,302,LCS 15,0,,
1002,302,LCS 20,0,,
1002,302,PUR PREMIUM,0,,
1002,401,ACQUA ELETRONICO,0,,
1002,401,BEB PREMIUM,282,282.0,0.0
1002,401,FILTRO,0,,
1002,401,PUR PREMIUM,265,265.0,0.0
1002,402,ACQUA ELETRONICO,0,,
1002,402,BEB PREMIUM,0,,
1002,402,FILTRO,0,,
1002,402,PUR PREMIUM,0,,
1002,405,BEB PREMIUM,0,,
1002,601,ACQUA ELETRONICO,0,,
1002,601,BEB PREMIUM,500,500.0,0.0
1002,601,CENTRIFUGA,0,,
1002,601,COOK 60,0,,
1002,601,COOK 80,0,,
1002,601,FILTRO,0,,
1002,601,LCA 12,200,200.0,0.0
1002,601,LCA 15,50,50.0,0.0
1002,601,LCS 10,10000,10000.0,0.0
1002,601,LCS 15,4000,4000.0,0.0
1002,601,LCS 20,5000,5000.0,0.0
1002,601,PUR PREMIUM,500,500.0,0.0
1002,602,ACQUA ELETRONICO,2097,,
1002,602,BEB PREMIUM,351,,
1002,602,BEBEDOURO PRO,702,,
1002,602,CENTRIFUGA,0,,
1002,602,COOK 60,0,,
1002,602,COOK 80,0,,
1002,602,FILTRO,1398,,
1002,602,LCA 12,0,,
1002,602,LCS 10,0,,
1002,602,LCS 13,0,,
1002,602,LCS 15,0,,
1002,602,LCS 18,0,,
1002,602,LCS 20,0,,
1002,602,PUR PREMIUM,942,,
1002,602,PURIFICADOR PRO,1884,,
1002,901,BEB PREMIUM,0,,
1002,901,CENTRIFUGA,0,,
1002,901,COOK 60,0,,
1002,901,COOK 80,0,,
1002,901,LCA 12,0,,
1002,901,LCS 10,0,,
1002,901,LCS 15,0,,
1002,901,LCS 20,0,,
1002,901,PUR PREMIUM,0,,
1002,ATC,ACQUA ELETRONICO,0,,
1002,ATC,BEB PREMIUM,0,,
1002,ATC,LCS 10,0,,
1002,ATC,LCS 20,0,,
1002,ATC,PUR PREMIUM,0,,
1002,MKP,LCS 20,0,,
1002,SGV,ACQUA COMPRESSOR,0,,
1002,SGV,BEB PREMIUM,0,,
1002,SGV,CENTRIFUGA,0,,
1002,SGV,COOK 60,0,,
1002,SGV,COOK 80,0,,
1002,SGV,LCA 12,0,,
1002,SGV,LCA 15,0,,
1002,SGV,LCS 10,0,,
1002,SGV,LCS 15,0,,
1002,SGV,LCS 20,0,,
1002,SGV,PUR PREMIUM,0,,
